price,bedrooms,beds,bathrooms,accommodates,amenities_count,log_amenities_count,host_age_days,neighbourhood_median_price,is_shared_room,is_private_room,is_entire_place,te_neighbourhood,te_property_type
79.99999999999997,1.0,1.0,1.0,2,24,3.2188758248682006,5214.0,164.9999999999998,0,1,0,199.7005481761192,141.45212834690346
115.0,2.0,2.0,1.0,6,15,2.772588722239781,5232.0,99.0,0,0,1,129.45214501223427,141.45212834690346
175.00000000000006,2.0,2.0,1.0,3,17,2.8903717578961645,3315.0,193.00000000000037,0,0,1,215.88411932192494,190.9922365885418
34.99999999999998,1.0,1.0,1.0,2,14,2.70805020110221,4630.0,55.000000000000014,0,1,0,80.46438530940095,163.3338196098838
275.00000000000057,2.0,4.0,1.0,6,22,3.1354942159291497,4803.0,164.9999999999998,0,0,1,213.48368588357081,141.45212834690346
195.0,3.0,3.0,2.0,5,15,2.772588722239781,4207.0,108.00000000000004,0,0,1,166.04911697253692,163.3338196098838
175.00000000000006,0.0,1.0,1.0,2,17,2.8903717578961645,4168.0,144.99999999999997,0,0,1,167.9626527673892,141.45212834690346
128.99999999999997,1.0,1.0,1.0,4,20,3.044522437723423,3436.0,64.99999999999999,0,0,1,82.66832305079724,141.45212834690346
229.00000000000048,1.0,1.0,1.0,2,26,3.295836866004329,5952.0,179.99999999999986,0,0,1,197.0764948005214,141.45212834690346
99.0,1.0,1.0,1.0,2,33,3.5263605246161616,4758.0,70.50000000000006,0,0,1,86.25638787265449,141.45212834690346
89.99999999999967,1.0,1.0,1.0,1,31,3.4657359027997265,5403.0,76.99999999999996,0,1,0,98.48318089296953,141.45212834690346
95.0,1.0,2.0,1.0,3,18,2.9444389791664403,3518.0,164.9999999999998,0,1,0,213.48368588357081,118.40438317020548
175.00000000000006,1.0,2.0,1.0,3,26,3.295836866004329,5085.0,135.00000000000003,0,0,1,162.44929083961227,141.45212834690346
98.00000000000004,1.0,1.0,1.0,2,23,3.1780538303479458,4281.0,99.0,0,1,0,129.45214501223427,163.3338196098838
99.0,1.0,1.0,1.0,3,7,2.0794415416798357,4647.0,119.99999999999996,0,1,0,131.73933912871803,141.45212834690346
129.99999999999997,3.0,3.0,1.5,6,9,2.302585092994046,4508.0,69.00000000000001,0,0,1,86.88780243944558,163.3338196098838
65.99999999999997,1.0,1.0,1.0,2,1,0.6931471805599453,3248.0,,0,1,0,149.25272942876225,163.3338196098838
